sequence_id	coordinates	order	group
NC_005056.1	1:10000:1	0	1
NC_049461.1	1:10000:1	1	1
NC_001895.1	1:10000:1	2	1
NC_049457.1	1:10000:1	3	1
NC_028943.1	1:10000:1	4	1
